Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0600     22711550226.8291 22711550162.9403      63.8888  18306.1
0.0610     22890609160.3001 22890609096.4573      63.8428  18293.0
0.0620     22872270983.6042 22872270919.7958      63.8084  18283.1
0.0630     22643452955.4704 22643452891.7081      63.7623  18269.9
0.0640     22364094123.1251 22364094059.4229      63.7022  18252.7
0.0650     22580664957.3441 22580664893.5524      63.7917  18278.3
0.0660     22474367683.8003 22474367619.7651      64.0352  18348.1
0.0670     23000088224.1787 23000088160.0494      64.1293  18375.1
0.0680     22830411041.0966 22830410976.9088      64.1878  18391.8
0.0690     22725060362.6758 22725060298.4321      64.2437  18407.8
0.0700     22968014803.0241 22968014738.7298      64.2943  18422.3
0.0710     22763993133.0461 22763993068.8456      64.2005  18395.5
0.0720     23058626003.7880 23058625939.6824      64.1056  18368.3
0.0730     23088445540.1898 23088445476.0768      64.1130  18370.4
0.0740     23365962272.6855 23365962208.5708      64.1147  18370.9
0.0750     23293675567.4486 23293675503.3173      64.1312  18375.6
0.0760     22880621242.4713 22880621178.3729      64.0985  18366.2
0.0770     22995126921.4612 22995126857.4063      64.0549  18353.7
0.0780     23161342102.3882 23161342038.3465      64.0417  18350.0
0.0790     23453017695.7010 23453017631.6604      64.0406  18349.6
0.0800     23091145748.1969 23091145684.1416      64.0553  18353.9
0.0810     23346041595.4352 23346041531.3788      64.0564  18354.2
0.0820     23493206757.1097 23493206693.0687      64.0410  18349.8
0.0830     23499142790.3323 23499142726.3011      64.0312  18347.0
0.0840     23628708217.4194 23628708153.4034      64.0160  18342.6
0.0850     23244818563.6791 23244818495.4682      68.2109  19544.6
0.0860     24084282244.4261 24084282166.3521      78.0740  22370.7
0.0870     23870036600.6838 23870036522.6677      78.0161  22354.1
0.0880     23974455638.1182 23974455560.0332      78.0850  22373.8
0.0890     23851351113.7426 23851351035.5613      78.1813  22401.4
0.0900     24188786120.5163 24188786042.3311      78.1852  22402.5
0.0910     24526512200.0615 24526512121.8607      78.2009  22407.0
0.0920     24330989765.6347 24330989687.4341      78.2006  22406.9
0.0930     24511863471.8145 24511863393.6703      78.1442  22390.8
0.0940     25100065359.9585 25100065281.8625      78.0960  22377.0
0.0950     24639537278.9467 24639537200.8483      78.0984  22377.7
0.0960     24399809306.4687 24399809228.2081      78.2605  22424.1
0.0970     24769945328.3781 24769945249.9169      78.4612  22481.6
0.0980     24878193314.4746 24878193236.0357      78.4389  22475.2
0.0990     24731536303.5753 24731536225.1466      78.4287  22472.3
0.1000     25054897843.4719 25054897765.0630      78.4089  22466.6
0.1010     25542072573.8536 25542072495.4644      78.3892  22461.0
0.1020     25281413910.6799 25281413832.2956      78.3844  22459.6
0.1030     25121278052.2733 25121277973.8925      78.3809  22458.6
0.1040     25508770592.4350 25508770514.0564      78.3786  22457.9
0.1050     25446453175.3571 25446453096.9812      78.3759  22457.1
0.1060     25689286924.0724 25689286845.6997      78.3728  22456.3
0.1070     25183620179.9768 25183620101.6085      78.3683  22455.0
0.1080     25440483341.6260 25440483263.1135      78.5124  22496.3
0.1090     25293884948.8528 25293884870.1819      78.6709  22541.7
0.1100     25465568334.3552 25465568255.6792      78.6760  22543.1
0.1110     25393699773.8953 25393699695.2271      78.6682  22540.9
